building,feature_set,mode,target_variant,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled
ICO,setA,M3,heat_kwh,False,False,42,15,0,11159,2066,8213,ok,9.122189441683446,5.583621501922607,0.9181953072547913,19.130762100219727,30.259122848510742,28.035654067993164,23.14302635192871,20.364912033081055,single,,,
ICO,setA,M3,heat_kwh,False,False,52,15,0,11159,2066,8213,ok,8.254225140254876,4.912234783172607,0.9330219030380249,16.83043670654297,30.62734603881836,27.06562042236328,20.903850555419922,17.783050537109375,single,,,
ICO,setA,M3,heat_kwh,False,False,62,15,0,11159,2066,8213,ok,9.517004354690977,5.363493919372559,0.9109609127044678,18.376554489135742,31.73641586303711,34.65753173828125,26.09480857849121,21.459070205688477,single,,,
ICO,setA,M3,heat_kwh,False,False,72,15,0,11159,2066,8213,ok,7.920313212819311,4.821933269500732,0.9383313059806824,16.521045684814453,23.883241653442383,23.36604118347168,17.621936798095703,15.225716590881348,single,,,
ICO,setA,M3,heat_kwh,False,False,82,15,0,11159,2066,8213,ok,8.924214766123377,5.306493282318115,0.9217075109481812,18.181257247924805,28.438642501831055,27.07404136657715,21.998620986938477,19.650741577148438,single,,,
LIB,setA,M3,heat_kwh,False,False,42,15,0,11158,2066,8213,ok,9.434053916054095,5.314016819000244,0.9768539071083069,9.24586296081543,16.374588012695312,16.23616600036621,11.797361373901367,9.152649879455566,single,,,
LIB,setA,M3,heat_kwh,False,False,52,15,0,11158,2066,8213,ok,8.668063369103896,5.18851375579834,0.980459988117218,9.027499198913574,12.038697242736816,12.1779146194458,9.467544555664062,7.71983528137207,single,,,
LIB,setA,M3,heat_kwh,False,False,62,15,0,11158,2066,8213,ok,9.418338953476782,5.62125301361084,0.9769309759140015,9.780423164367676,14.208919525146484,14.093647003173828,10.72479248046875,8.785306930541992,single,,,
LIB,setA,M3,heat_kwh,False,False,72,15,0,11158,2066,8213,ok,9.06693259391497,5.1095685958862305,0.9786202907562256,8.890142440795898,15.700923919677734,15.199505805969238,10.795804023742676,8.53129768371582,single,,,
LIB,setA,M3,heat_kwh,False,False,82,15,0,11158,2066,8213,ok,9.814043640400403,5.773298740386963,0.9749517440795898,10.044967651367188,15.519821166992188,15.160270690917969,11.393340110778809,9.41408634185791,single,,,
SOC,setA,M3,heat_kwh,False,False,42,15,0,11158,2066,8213,ok,18.99729739593528,11.092740058898926,0.9764897227287292,10.115676879882812,13.384124755859375,13.626531600952148,11.976236343383789,9.475892066955566,single,,,
SOC,setA,M3,heat_kwh,False,False,52,15,0,11158,2066,8213,ok,19.489982966517857,11.545440673828125,0.975254476070404,10.52850341796875,14.120461463928223,15.241639137268066,11.794203758239746,9.707131385803223,single,,,
SOC,setA,M3,heat_kwh,False,False,62,15,0,11158,2066,8213,ok,18.86884050729784,10.887750625610352,0.9768065810203552,9.928743362426758,13.210733413696289,14.352765083312988,11.251420021057129,9.03933048248291,single,,,
SOC,setA,M3,heat_kwh,False,False,72,15,0,11158,2066,8213,ok,19.109518729017942,11.05428409576416,0.9762111306190491,10.080609321594238,14.0892972946167,15.044535636901855,10.695240020751953,8.859090805053711,single,,,
SOC,setA,M3,heat_kwh,False,False,82,15,0,11158,2066,8213,ok,19.05764138261499,11.271963119506836,0.976340115070343,10.27911376953125,13.278703689575195,14.36473274230957,9.867156982421875,8.198044776916504,single,,,
U01,setA,M3,heat_kwh,False,False,42,15,0,11158,2066,8213,ok,51.94808716175818,32.46823501586914,0.6269160509109497,39.42369842529297,36.42265319824219,41.13811111450195,42.52030944824219,44.7819709777832,single,,,
U01,setA,M3,heat_kwh,False,False,52,15,0,11158,2066,8213,ok,66.80304978769682,40.02252197265625,0.3830356001853943,48.59628677368164,49.579132080078125,61.0419921875,62.882598876953125,64.1757583618164,single,,,
U01,setA,M3,heat_kwh,False,False,62,15,0,11158,2066,8213,ok,71.38786688970683,44.26210021972656,0.29544270038604736,53.74408721923828,66.73580169677734,71.61125946044922,70.13693237304688,69.12300109863281,single,,,
