building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U05,M0,62,target_cum_h4,cumulative,4,8,15364,1536,8203,ok,60.22308178828218,32.897491455078125,0.9317179918289185,17.49947738647461,3197358.25,21.197232831261676,1295629.9077598478,-3.6977554447870666,1901728.3422401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,42,target_cum_h4,cumulative,4,9,15364,1536,8203,ok,60.59460417139054,33.226680755615234,0.930872917175293,17.67458724975586,2674567.5,21.197232831261676,1295629.9077598478,-3.5226455815058166,1378937.5922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,52,target_cum_h4,cumulative,4,9,15364,1536,8203,ok,59.77157241649767,33.57741928100586,0.9327380061149597,17.86115837097168,3980609.0,21.197232831261676,1295629.9077598478,-3.3360744602899963,2684979.092240152,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M1,62,target_cum_h4,cumulative,4,9,15364,1536,8203,ok,58.177506946010716,32.094932556152344,0.9362778067588806,17.07256507873535,3457180.5,21.197232831261676,1295629.9077598478,-4.1246677525263244,2161550.592240152,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M2,42,target_cum_h4,cumulative,4,14,15364,1536,8203,ok,57.299305835400396,31.23849105834961,0.9381870627403259,16.61699104309082,2228493.25,21.197232831261676,1295629.9077598478,-4.580241788170856,932863.3422401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M2,52,target_cum_h4,cumulative,4,14,15364,1536,8203,ok,59.31774377505014,31.79488182067871,0.9337555170059204,16.91295623779297,2755819.75,21.197232831261676,1295629.9077598478,-4.284276593468707,1460189.8422401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M2,62,target_cum_h4,cumulative,4,14,15364,1536,8203,ok,57.95756925531276,31.677827835083008,0.9367586970329285,16.850690841674805,2374608.0,21.197232831261676,1295629.9077598478,-4.346541989586871,1078978.0922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,42,target_cum_h4,cumulative,4,15,15364,1536,8203,ok,58.16669161704038,31.948278427124023,0.9363014698028564,16.99455451965332,2978517.5,21.197232831261676,1295629.9077598478,-4.202678311608356,1682887.5922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,52,target_cum_h4,cumulative,4,15,15364,1536,8203,ok,59.94547286323526,32.5532341003418,0.9323460459709167,17.316354751586914,2540122.5,21.197232831261676,1295629.9077598478,-3.880878079674762,1244492.5922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,62,target_cum_h4,cumulative,4,15,15364,1536,8203,ok,58.93833675174843,32.139888763427734,0.9346002340316772,17.096479415893555,2442304.0,21.197232831261676,1295629.9077598478,-4.100753415368121,1146674.0922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
